index,mechanism,action,drugA,drugB
32610,The therapeutic efficacy,decrease,Mycophenolatemofetil,Folicacid
32611,The therapeutic efficacy,decrease,Mycophenolicacid,Folicacid
32612,The therapeutic efficacy,decrease,Nabumetone,Folicacid
32613,The therapeutic efficacy,decrease,Naproxen,Folicacid
32614,The metabolism,increase,Fosphenytoin,Formoterol
32615,the hypokalemic activities,increase,Furosemide,Formoterol
32616,The metabolism,decrease,Gemfibrozil,Formoterol
32617,the QTc - prolonging activities,increase,Granisetron,Formoterol
32618,The metabolism,decrease,Haloperidol,Formoterol
32619,the arrhythmogenic activities,increase,Halothane,Formoterol
32620,the QTc - prolonging activities,increase,Iloperidone,Formoterol
32621,The metabolism,decrease,Imipramine,Formoterol
32622,the hypokalemic activities,increase,Indapamide,Formoterol
32623,The metabolism,decrease,Irbesartan,Formoterol
32624,the arrhythmogenic activities,increase,Isoflurane,Formoterol
32625,The metabolism,decrease,Isoniazid,Formoterol
32626,The metabolism,decrease,Ketoconazole,Formoterol
32627,the vasoconstricting activities,decrease,Labetalol,Formoterol
32628,The metabolism,decrease,Leflunomide,Formoterol
32629,the QTc - prolonging activities,increase,Lenvatinib,Formoterol
32630,the QTc - prolonging activities,increase,Levofloxacin,Formoterol
32631,the tachycardic activities,increase,Levomilnacipran,Formoterol
32632,The metabolism,decrease,Lobeglitazone,Formoterol
32633,The metabolism,decrease,Lorcaserin,Formoterol
32634,The therapeutic efficacy,increase,Lorpiprazole,Formoterol
32635,The metabolism,decrease,Losartan,Formoterol
32636,The metabolism,decrease,Lovastatin,Formoterol
32637,The serum concentration,decrease,Lumacaftor,Formoterol
32638,The metabolism,decrease,Methadone,Formoterol
32639,The metabolism,decrease,Methotrimeprazine,Formoterol
32640,the arrhythmogenic activities,increase,Methoxyflurane,Formoterol
32641,the hypertensive and vasoconstricting activities,increase,Methylergometrine,Formoterol
32642,The metabolism,decrease,Metoprolol,Formoterol
32643,The metabolism,decrease,Midostaurin,Formoterol
32644,The serum concentration,increase,Mifepristone,Formoterol
32645,The risk or severity of adverse effects,increase,Minaprine,Formoterol
32646,The metabolism,decrease,Mirabegron,Formoterol
32647,The risk or severity of adverse effects,increase,Mirtazapine,Formoterol
32648,The metabolism,decrease,Moclobemide,Formoterol
32649,The metabolism,decrease,Modafinil,Formoterol
32650,the bronchodilatory activities,decrease,Nebivolol,Formoterol
32651,The metabolism,decrease,Nicardipine,Formoterol
32652,The risk or severity of adverse effects,increase,Fospropofol,Fosphenytoin
32653,The metabolism,increase,Fostamatinib,Fosphenytoin
32654,The metabolism,increase,Fulvestrant,Fosphenytoin
32655,The risk or severity of adverse effects,increase,Gabapentin,Fosphenytoin
32656,The metabolism,increase,Galantamine,Fosphenytoin
32657,The serum concentration,decrease,Gefitinib,Fosphenytoin
32658,The metabolism,increase,Gemfibrozil,Fosphenytoin
32659,The therapeutic efficacy,decrease,Gestodene,Fosphenytoin
32660,The metabolism,increase,Gliclazide,Fosphenytoin
32661,The metabolism,increase,Glimepiride,Fosphenytoin
32662,The metabolism,increase,Glipizide,Fosphenytoin
32663,The metabolism,increase,Glucosamine,Fosphenytoin
32664,The risk or severity of adverse effects,increase,Glutethimide,Fosphenytoin
32665,The metabolism,increase,Glyburide,Fosphenytoin
32666,The metabolism,increase,Granisetron,Fosphenytoin
32667,The serum concentration,decrease,Griseofulvin,Fosphenytoin
32668,The serum concentration,decrease,Guanfacine,Fosphenytoin
32669,The metabolism,increase,Halofantrine,Fosphenytoin
32670,The metabolism,increase,Haloperidol,Fosphenytoin
32671,The serum concentration,increase,Halothane,Fosphenytoin
32672,The metabolism,increase,Hexobarbital,Fosphenytoin
32673,The metabolism,increase,Histamine,Fosphenytoin
32674,the central nervous system depressant ( CNS depressant ) activities,increase,Hydrocodone,Fosphenytoin
32675,The serum concentration,decrease,Hydrocortisone,Fosphenytoin
32676,The metabolism,increase,Hydromorphone,Fosphenytoin
32677,The metabolism,increase,Hydroxyprogesteronecaproate,Fosphenytoin
32678,the central nervous system depressant ( CNS depressant ) activities,increase,Hydroxyzine,Fosphenytoin
32679,The serum concentration,decrease,Ibrutinib,Fosphenytoin
32680,The metabolism,increase,Ibuprofen,Fosphenytoin
32681,The metabolism,increase,Icotinib,Fosphenytoin
32682,The metabolism,increase,Idarubicin,Fosphenytoin
32683,The serum concentration of the active metabolites,increase,Ifosfamide,Fosphenytoin
32684,The metabolism,increase,Fosphenytoin,Iloperidone
32685,The serum concentration,decrease,Fosphenytoin,Imatinib
32686,The metabolism,increase,Fosphenytoin,Imidafenacin
32687,The metabolism,increase,Fosphenytoin,Imipramine
32688,The metabolism,increase,Fosphenytoin,Imiquimod
32689,The metabolism,increase,Fosphenytoin,Indacaterol
32690,The metabolism,increase,Fosphenytoin,Indapamide
32691,The metabolism,increase,Fosphenytoin,Indomethacin
32692,The metabolism,increase,Fosphenytoin,Ipratropiumbromide
32693,The metabolism,increase,Fosphenytoin,Irbesartan
32694,The serum concentration,decrease,Fosphenytoin,Irinotecan
32695,The serum concentration,decrease,Fosphenytoin,Isavuconazole
32696,The metabolism,increase,Fosphenytoin,Isoflurane
32697,The serum concentration,increase,Fosphenytoin,Isoniazid
32698,The metabolism,increase,Fosphenytoin,Isosorbidedinitrate
32699,The metabolism,increase,Fosphenytoin,Isosorbidemononitrate
32700,The metabolism,increase,Fosphenytoin,Isradipine
32701,The serum concentration,decrease,Fosphenytoin,Itraconazole
32702,The serum concentration,decrease,Fosphenytoin,Ivacaftor
32703,The metabolism,increase,Fosphenytoin,Ivermectin
32704,The serum concentration,decrease,Fosphenytoin,Ixabepilone
32705,The metabolism,increase,Fosphenytoin,Ketamine
32706,The metabolism,increase,Fosphenytoin,Ketazolam
32707,The metabolism,increase,Fosphenytoin,Ketobemidone
32708,The serum concentration,decrease,Fosphenytoin,Ketoconazole
32709,The metabolism,increase,Fosphenytoin,Ketoprofen
32710,The serum concentration,decrease,Fosphenytoin,Lamotrigine
32711,The metabolism,increase,Fosphenytoin,Lansoprazole
32712,The serum concentration,decrease,Fosphenytoin,Lapatinib
32713,The metabolism,increase,Fosphenytoin,Leflunomide
32714,The metabolism,increase,Fosphenytoin,Lenvatinib
32715,The metabolism,increase,Fosphenytoin,Lercanidipine
32716,The metabolism,increase,Fosphenytoin,Lesinurad
32717,The metabolism,increase,Fosphenytoin,Letrozole
32718,The metabolism,increase,Fosphenytoin,Levobupivacaine
32719,The metabolism,increase,Fosphenytoin,Levocetirizine
32720,The therapeutic efficacy,decrease,Fosphenytoin,Levodopa
32721,The metabolism,increase,Fosphenytoin,Levomethadylacetate
32722,The metabolism,increase,Fosphenytoin,Levomilnacipran
32723,The therapeutic efficacy,decrease,Fosphenytoin,Levonorgestrel
32724,The serum concentration,decrease,Fosphenytoin,Levothyroxine
32725,The metabolism,increase,Fosphenytoin,Lidocaine
32726,The serum concentration,decrease,Fosphenytoin,Linagliptin
32727,The serum concentration,decrease,Fosphenytoin,Liotrix
32728,The metabolism,increase,Fosphenytoin,Lisuride
32729,The metabolism,decrease,Fosphenytoin,Lobeglitazone
32730,The metabolism,increase,Fosphenytoin,Lomitapide
32731,The metabolism,increase,Fosphenytoin,Loperamide
32732,The metabolism,increase,Fosphenytoin,Loratadine
32733,The serum concentration,increase,Fosphenytoin,Lorazepam
32734,The metabolism,increase,Fosphenytoin,Lorcaserin
32735,The metabolism,increase,Fosphenytoin,Lornoxicam
32736,The metabolism,increase,Fosphenytoin,Lorpiprazole
32737,The metabolism,increase,Fosphenytoin,Losartan
32738,The serum concentration,decrease,Fosphenytoin,Lovastatin
32739,The serum concentration,increase,Fosphenytoin,Lumacaftor
32740,The metabolism,increase,Fosphenytoin,Lumiracoxib
32741,The serum concentration,decrease,Fosphenytoin,Lurasidone
32742,The serum concentration,decrease,Fosphenytoin,Macimorelin
32743,The serum concentration,decrease,Fosphenytoin,Macitentan
32744,The metabolism,increase,Fosphenytoin,Malathion
32745,The risk or severity of adverse effects,increase,Fosphenytoin,Maprotiline
32746,The serum concentration,decrease,Fosphenytoin,Maraviroc
32747,The serum concentration,decrease,Fosphenytoin,Mebendazole
32748,The risk or severity of adverse effects,increase,Fosphenytoin,Meclizine
32749,The therapeutic efficacy,decrease,Fosphenytoin,Medroxyprogesteroneacetate
32750,The metabolism,increase,Fosphenytoin,Mefenamicacid
32751,The therapeutic efficacy,decrease,Fosphenytoin,Mefloquine
32752,The metabolism,increase,Fosphenytoin,Melatonin
32753,The metabolism,increase,Fosphenytoin,Meloxicam
32754,The risk or severity of adverse effects,increase,Fosphenytoin,Melperone
32755,The metabolism,increase,Fosphenytoin,Meprobamate
32756,The risk or severity of adverse effects,increase,Fosphenytoin,Mesoridazine
32757,The therapeutic efficacy,decrease,Fosphenytoin,Mestranol
32758,The serum concentration,decrease,Fosphenytoin,Methadone
32759,The risk or severity of adverse effects,increase,Fosphenytoin,Methazolamide
32760,The serum concentration,decrease,Fosphenytoin,Methotrexate
32761,the central nervous system depressant ( CNS depressant ) activities,increase,Fosphenytoin,Methotrimeprazine
32762,The metabolism,increase,Fosphenytoin,Methoxyflurane
32763,The metabolism,increase,Fosphenytoin,Methsuximide
32764,The serum concentration,increase,Fosphenytoin,Methylphenidate
32765,The metabolism,increase,Fosphenytoin,Methylphenobarbital
32766,The serum concentration,decrease,Fosphenytoin,Methylprednisolone
32767,The metabolism,increase,Fosphenytoin,Methyltestosterone
32768,The metabolism,increase,Fosphenytoin,Metoprolol
32769,The serum concentration,decrease,Fosphenytoin,Metronidazole
32770,The serum concentration,decrease,Fosphenytoin,Metyrapone
32771,The serum concentration,decrease,Fosphenytoin,Mexiletine
32772,The therapeutic efficacy,decrease,Fosphenytoin,Mianserin
32773,The serum concentration,increase,Fosphenytoin,Miconazole
32774,The serum concentration,increase,Fosphenytoin,Midazolam
32775,The metabolism,increase,Fosphenytoin,Midostaurin
32776,The serum concentration,decrease,Fosphenytoin,Mifepristone
32777,The serum concentration,decrease,Fosphenytoin,Miltefosine
32778,The metabolism,increase,Fosphenytoin,Mirabegron
32779,the central nervous system depressant ( CNS depressant ) activities,increase,Fosphenytoin,Mirtazapine
32780,The metabolism,increase,Fosphenytoin,Moclobemide
32781,The metabolism,increase,Fosphenytoin,Modafinil
32782,The serum concentration,decrease,Fosphenytoin,Mometasone
32783,The metabolism,increase,Fosphenytoin,Montelukast
32784,The metabolism,increase,Fosphenytoin,Morphine
32785,The metabolism,increase,Fosphenytoin,Mycophenolatemofetil
32786,the central nervous system depressant ( CNS depressant ) activities,increase,Fosphenytoin,Nabilone
32787,The metabolism,increase,Fosphenytoin,Nabiximols
32788,The serum concentration,decrease,Fosphenytoin,Naloxegol
32789,The metabolism,increase,Fosphenytoin,Naloxone
32790,The metabolism,increase,Fosphenytoin,Naproxen
32791,The metabolism,increase,Fosphenytoin,Nateglinide
32792,The metabolism,increase,Fosphenytoin,Nefazodone
32793,The metabolism,increase,Fosphenytoin,Neratinib
32794,The serum concentration,decrease,Fosphenytoin,Netupitant
32795,The metabolism,increase,Fosphenytoin,Nicardipine
32796,The risk or severity of adverse effects,increase,Fospropofol,Gabapentin
32797,The risk or severity of adverse effects,increase,Fospropofol,Glutethimide
32798,The risk or severity of adverse effects,increase,Fospropofol,Guanfacine
32799,The risk or severity of adverse effects,increase,Fospropofol,Haloperidol
32800,The risk or severity of adverse effects,increase,Fospropofol,Halothane
32801,The risk or severity of adverse effects,increase,Fospropofol,Hexobarbital
32802,the central nervous system depressant ( CNS depressant ) activities,increase,Fospropofol,Hydrocodone
32803,The risk or severity of adverse effects,increase,Fospropofol,Hydromorphone
32804,the central nervous system depressant ( CNS depressant ) activities,increase,Fospropofol,Hydroxyzine
32805,The risk or severity of adverse effects,increase,Fospropofol,Iloperidone
32806,The risk or severity of adverse effects,increase,Fospropofol,Imipramine
32807,The risk or severity of adverse effects,increase,Fospropofol,Isoflurane
32808,The risk or severity of adverse effects,increase,Fospropofol,Ketamine
32809,The risk or severity of adverse effects,increase,Fospropofol,Ketazolam
32810,The risk or severity of adverse effects,increase,Fospropofol,Ketobemidone
32811,The risk or severity of adverse effects,increase,Fospropofol,Lamotrigine
32812,The risk or severity of adverse effects,increase,Fospropofol,Levobupivacaine
32813,The risk or severity of adverse effects,increase,Fospropofol,Levocetirizine
32814,The risk or severity of adverse effects,increase,Fospropofol,Levodopa
32815,The risk or severity of adverse effects,increase,Fospropofol,Levomethadylacetate
32816,The risk or severity of adverse effects,increase,Fospropofol,Levomilnacipran
32817,The risk or severity of adverse effects,increase,Fospropofol,Lidocaine
32818,The risk or severity of adverse effects,increase,Fospropofol,Loratadine
32819,The risk or severity of adverse effects,increase,Fospropofol,Lorazepam
32820,The risk or severity of adverse effects,increase,Fospropofol,Lurasidone
32821,The risk or severity of adverse effects,increase,Fospropofol,Maprotiline
32822,The risk or severity of adverse effects,increase,Fospropofol,Meclizine
32823,The risk or severity of adverse effects,increase,Fospropofol,Melatonin
32824,The risk or severity of adverse effects,increase,Fospropofol,Melperone
32825,The risk or severity of adverse effects,increase,Fospropofol,Meprobamate
32826,The risk or severity of adverse effects,increase,Fospropofol,Mesoridazine
32827,The risk or severity of adverse effects,increase,Fospropofol,Methadone
32828,the central nervous system depressant ( CNS depressant ) activities,increase,Fospropofol,Methotrimeprazine
32829,The risk or severity of adverse effects,increase,Fospropofol,Methoxyflurane
32830,The risk or severity of adverse effects,increase,Fospropofol,Methsuximide
32831,The risk or severity of adverse effects,increase,Fospropofol,Methylphenobarbital
32832,The risk or severity of adverse effects,increase,Fospropofol,Midazolam
32833,the central nervous system depressant ( CNS depressant ) activities,increase,Fospropofol,Mirtazapine
32834,The risk or severity of adverse effects,increase,Fospropofol,Morphine
32835,the central nervous system depressant ( CNS depressant ) activities,increase,Fospropofol,Nabilone
32836,The risk or severity of adverse effects,increase,Fospropofol,Nefazodone
32837,The metabolism,decrease,Fostamatinib,Imatinib
32838,The serum concentration,increase,Fostamatinib,Isavuconazole
32839,The metabolism,decrease,Fostamatinib,Isradipine
32840,The metabolism,decrease,Fostamatinib,Itraconazole
32841,The serum concentration,increase,Fostamatinib,Ivacaftor
32842,The metabolism,decrease,Fostamatinib,Ketoconazole
32843,The serum concentration,increase,Fostamatinib,Lorpiprazole
32844,The metabolism,decrease,Fostamatinib,Lovastatin
32845,The metabolism,increase,Fostamatinib,Lumacaftor
32846,The serum concentration,increase,Fostamatinib,Mifepristone
32847,The serum concentration,decrease,Fostamatinib,Mitotane
32848,The metabolism,decrease,Fostamatinib,Nefazodone
32849,The serum concentration,increase,Fostamatinib,Netupitant
32850,the serotonergic activities,increase,Frovatriptan,Granisetron
32851,The risk or severity of adverse effects,increase,Frovatriptan,Haloperidol
32852,The risk or severity of adverse effects,increase,Frovatriptan,Iloperidone
32853,The risk or severity of adverse effects,increase,Frovatriptan,Imipramine
32854,the serotonergic activities,increase,Frovatriptan,Ltryptophan
32855,The risk or severity of adverse effects,increase,Frovatriptan,Levomilnacipran
32856,The metabolism,decrease,Frovatriptan,Lidocaine
32857,The metabolism,decrease,Frovatriptan,Lobeglitazone
32858,The risk or severity of adverse effects,increase,Frovatriptan,Lorcaserin
32859,The risk or severity of adverse effects,increase,Frovatriptan,Lurasidone
32860,The risk or severity of adverse effects,increase,Frovatriptan,Maprotiline
32861,The risk or severity of adverse effects,increase,Frovatriptan,Melperone
32862,The risk or severity of adverse effects,increase,Frovatriptan,Mesoridazine
32863,The risk or severity of adverse effects,increase,Frovatriptan,Methadone
32864,The risk or severity of adverse effects,increase,Frovatriptan,Methotrimeprazine
32865,the vasoconstricting activities,increase,Frovatriptan,Methylergometrine
32866,The risk or severity of adverse effects,increase,Frovatriptan,Metoclopramide
32867,The metabolism,decrease,Frovatriptan,Mexiletine
32868,The metabolism,decrease,Frovatriptan,Midostaurin
32869,The metabolism,decrease,Frovatriptan,Minaprine
32870,The risk or severity of adverse effects,increase,Frovatriptan,Mirtazapine
32871,The serum concentration,increase,Frovatriptan,Moclobemide
32872,The risk or severity of adverse effects,increase,Frovatriptan,Naratriptan
32873,The risk or severity of adverse effects,increase,Frovatriptan,Nefazodone
32874,The metabolism,decrease,Fulvestrant,Imatinib
32875,The serum concentration,increase,Fulvestrant,Isavuconazole
32876,The metabolism,decrease,Fulvestrant,Isradipine
32877,The metabolism,decrease,Fulvestrant,Itraconazole
32878,The serum concentration,increase,Fulvestrant,Ivacaftor
32879,The metabolism,decrease,Fulvestrant,Ketoconazole
32880,The serum concentration,increase,Fulvestrant,Lorpiprazole
32881,The metabolism,decrease,Fulvestrant,Lovastatin
32882,The metabolism,increase,Fulvestrant,Lumacaftor
32883,The serum concentration,increase,Fulvestrant,Mifepristone
32884,The serum concentration,decrease,Fulvestrant,Mitotane
32885,The metabolism,decrease,Fulvestrant,Nefazodone
32886,The serum concentration,increase,Fulvestrant,Netupitant
32887,The therapeutic efficacy,decrease,Furosemide,Gliclazide
32888,The therapeutic efficacy,decrease,Furosemide,Glimepiride
32889,The therapeutic efficacy,decrease,Furosemide,Glipizide
32890,The therapeutic efficacy,decrease,Furosemide,Glyburide
32891,The risk or severity of adverse effects,increase,Furosemide,Guanfacine
32892,The risk or severity of adverse effects,increase,Furosemide,Halothane
32893,the hypotensive activities,increase,Furosemide,Hexobarbital
32894,The risk or severity of adverse effects,increase,Furosemide,Hydralazine
32895,The risk or severity of adverse effects,increase,Furosemide,Hydrocodone
32896,the hypokalemic activities,increase,Furosemide,Hydrocortisone
32897,The risk or severity of adverse effects,increase,Furosemide,Hydromorphone
32898,The therapeutic efficacy,decrease,Furosemide,Ibuprofen
32899,The serum concentration,increase,Furosemide,Idarubicin
32900,The risk or severity of adverse effects,increase,Furosemide,Imipramine
32901,the hypokalemic activities,increase,Furosemide,Indacaterol
32902,The risk or severity of adverse effects,increase,Furosemide,Indapamide
32903,The therapeutic efficacy,decrease,Furosemide,Indomethacin
32904,The risk or severity of adverse effects,increase,Furosemide,Irbesartan
32905,The risk or severity of adverse effects,increase,Furosemide,Isoflurane
32906,the hypokalemic activities,increase,Furosemide,Isoprenaline
32907,The risk or severity of adverse effects,increase,Furosemide,Isosorbidedinitrate
32908,The risk or severity of adverse effects,increase,Furosemide,Isosorbidemononitrate
32909,The risk or severity of adverse effects,increase,Furosemide,Isradipine
32910,The risk or severity of adverse effects,increase,Furosemide,Ketobemidone
32911,The therapeutic efficacy,decrease,Furosemide,Ketoprofen
32912,The risk or severity of adverse effects,increase,Furosemide,Labetalol
32913,The therapeutic efficacy,decrease,Furosemide,Leflunomide
32914,The risk or severity of adverse effects,increase,Furosemide,Lercanidipine
32915,The risk or severity of adverse effects,increase,Furosemide,Levobupivacaine
32916,the orthostatic hypotensive activities,increase,Furosemide,Levodopa
32917,The risk or severity of adverse effects,increase,Furosemide,Levomethadylacetate
32918,the hypokalemic activities,increase,Furosemide,Levosalbutamol
32919,The therapeutic efficacy,decrease,Furosemide,Linagliptin
32920,The therapeutic efficacy,decrease,Furosemide,Lornoxicam
32921,The risk or severity of adverse effects,increase,Furosemide,Losartan
32922,The therapeutic efficacy,decrease,Furosemide,Loxoprofen
32923,The therapeutic efficacy,decrease,Furosemide,Lumiracoxib
32924,The therapeutic efficacy,decrease,Furosemide,Masoprocol
32925,The therapeutic efficacy,decrease,Furosemide,Mefenamicacid
32926,The therapeutic efficacy,decrease,Furosemide,Meloxicam
32927,The therapeutic efficacy,decrease,Furosemide,Metamizole
32928,The risk or severity of adverse effects,increase,Furosemide,Methadone
32929,The risk or severity of adverse effects,increase,Furosemide,Methazolamide
32930,The therapeutic efficacy,decrease,Furosemide,Methotrexate
32931,The risk or severity of adverse effects,increase,Furosemide,Methyldopa
32932,the hypotensive activities,increase,Furosemide,Methylphenobarbital
32933,the hypokalemic activities,increase,Furosemide,Methylprednisolone
32934,The risk or severity of adverse effects,increase,Furosemide,Metoprolol
32935,The therapeutic efficacy,decrease,Furosemide,Miglitol
32936,The therapeutic efficacy,decrease,Furosemide,Mitiglinide
32937,the hypokalemic activities,increase,Furosemide,Mometasone
32938,The risk or severity of adverse effects,increase,Furosemide,Morphine
32939,The therapeutic efficacy,decrease,Furosemide,Mycophenolatemofetil
32940,The therapeutic efficacy,decrease,Furosemide,Mycophenolicacid
32941,The risk or severity of adverse effects,increase,Furosemide,Nabilone
32942,The therapeutic efficacy,decrease,Furosemide,Nabumetone
32943,The therapeutic efficacy,decrease,Furosemide,Naproxen
32944,The therapeutic efficacy,decrease,Furosemide,Nateglinide
32945,The risk or severity of adverse effects,increase,Furosemide,Nebivolol
32946,The risk or severity of adverse effects,increase,Furosemide,Nicardipine
32947,The risk or severity of adverse effects,increase,Gabapentin,Glutethimide
32948,The therapeutic efficacy,increase,Gabapentin,Griseofulvin
32949,The risk or severity of adverse effects,increase,Gabapentin,Guanfacine
32950,The risk or severity of adverse effects,increase,Gabapentin,Haloperidol
32951,The risk or severity of adverse effects,increase,Gabapentin,Halothane
32952,The risk or severity of adverse effects,increase,Gabapentin,Hexobarbital
32953,the central nervous system depressant ( CNS depressant ) activities,increase,Gabapentin,Hydrocodone
32954,The risk or severity of adverse effects,increase,Gabapentin,Hydromorphone
32955,the central nervous system depressant ( CNS depressant ) activities,increase,Gabapentin,Hydroxyzine
32956,The risk or severity of adverse effects,increase,Gabapentin,Iloperidone
32957,The risk or severity of adverse effects,increase,Gabapentin,Imipramine
32958,The risk or severity of adverse effects,increase,Gabapentin,Isoflurane
32959,The therapeutic efficacy,increase,Gabapentin,Itraconazole
32960,The risk or severity of adverse effects,increase,Gabapentin,Ketamine
32961,The risk or severity of adverse effects,increase,Gabapentin,Ketazolam
32962,The risk or severity of adverse effects,increase,Gabapentin,Ketobemidone
32963,The therapeutic efficacy,increase,Gabapentin,Ketoconazole
32964,The risk or severity of hypotension,increase,Gabapentin,Labetalol
32965,The risk or severity of adverse effects,increase,Gabapentin,Lamotrigine
32966,The risk or severity of adverse effects,increase,Gabapentin,Levobupivacaine
32967,The risk or severity of adverse effects,increase,Gabapentin,Levocetirizine
32968,The risk or severity of adverse effects,increase,Gabapentin,Levodopa
32969,The risk or severity of adverse effects,increase,Gabapentin,Levomethadylacetate
32970,The risk or severity of adverse effects,increase,Gabapentin,Levomilnacipran
32971,The risk or severity of adverse effects,increase,Gabapentin,Lidocaine
32972,The risk or severity of adverse effects,increase,Gabapentin,Loratadine
32973,The risk or severity of adverse effects,increase,Gabapentin,Lorazepam
32974,The serum concentration,increase,Gabapentin,Lorpiprazole
32975,The risk or severity of adverse effects,increase,Gabapentin,Lurasidone
32976,The risk or severity of adverse effects,increase,Gabapentin,Maprotiline
32977,The risk or severity of adverse effects,increase,Gabapentin,Meclizine
32978,The therapeutic efficacy,decrease,Gabapentin,Mefloquine
32979,The risk or severity of adverse effects,increase,Gabapentin,Melatonin
32980,The risk or severity of adverse effects,increase,Gabapentin,Melperone
32981,The risk or severity of adverse effects,increase,Gabapentin,Meprobamate
32982,The risk or severity of adverse effects,increase,Gabapentin,Mesoridazine
32983,The risk or severity of adverse effects,increase,Gabapentin,Methadone
32984,the central nervous system depressant ( CNS depressant ) activities,increase,Gabapentin,Methotrimeprazine
32985,The risk or severity of adverse effects,increase,Gabapentin,Methoxyflurane
32986,The risk or severity of adverse effects,increase,Gabapentin,Methsuximide
32987,The risk or severity of adverse effects,increase,Gabapentin,Methylphenobarbital
32988,The therapeutic efficacy,decrease,Gabapentin,Mianserin
32989,The therapeutic efficacy,increase,Gabapentin,Miconazole
32990,The risk or severity of adverse effects,increase,Gabapentin,Midazolam
32991,The therapeutic efficacy,increase,Gabapentin,Miltefosine
32992,the central nervous system depressant ( CNS depressant ) activities,increase,Gabapentin,Mirtazapine
32993,The risk or severity of adverse effects,increase,Gabapentin,Morphine
32994,the central nervous system depressant ( CNS depressant ) activities,increase,Gabapentin,Nabilone
32995,The risk or severity of adverse effects,increase,Gabapentin,Nefazodone
32996,the QTc - prolonging activities,increase,Galantamine,Granisetron
32997,the bradycardic activities,increase,Galantamine,Guanfacine
32998,The metabolism,decrease,Galantamine,Haloperidol
32999,The therapeutic efficacy,decrease,Galantamine,Homatropine
33000,The risk or severity of adverse effects,increase,Galantamine,Hydrocortisone
33001,the QTc - prolonging activities,increase,Galantamine,Iloperidone
33002,The metabolism,decrease,Galantamine,Imatinib
33003,The metabolism,decrease,Galantamine,Imipramine
33004,The therapeutic efficacy,decrease,Galantamine,Ipratropiumbromide
33005,The serum concentration,increase,Galantamine,Isavuconazole
33006,The metabolism,decrease,Galantamine,Isoniazid
33007,The metabolism,decrease,Galantamine,Isradipine
33008,The metabolism,decrease,Galantamine,Itraconazole
33009,The serum concentration,increase,Galantamine,Ivacaftor
33010,The metabolism,decrease,Galantamine,Ketoconazole
33011,the bradycardic activities,increase,Galantamine,Labetalol
33012,the QTc - prolonging activities,increase,Galantamine,Lenvatinib
33013,the QTc - prolonging activities,increase,Galantamine,Levofloxacin
33014,The metabolism,decrease,Galantamine,Levomilnacipran
33015,The metabolism,decrease,Galantamine,Lorcaserin
33016,The serum concentration,increase,Galantamine,Lorpiprazole
33017,The metabolism,decrease,Galantamine,Lovastatin
33018,The metabolism,increase,Galantamine,Lumacaftor
33019,The metabolism,decrease,Galantamine,Methadone
33020,The metabolism,decrease,Galantamine,Methotrimeprazine
33021,the bradycardic activities,increase,Galantamine,Methyldopa
33022,The risk or severity of adverse effects,increase,Galantamine,Methylprednisolone
33023,the bradycardic activities,increase,Galantamine,Metoprolol
33024,The metabolism,decrease,Galantamine,Midostaurin
33025,The serum concentration,increase,Galantamine,Mifepristone
33026,The metabolism,decrease,Galantamine,Mirabegron
33027,The serum concentration,decrease,Galantamine,Mitotane
33028,The risk or severity of adverse effects,increase,Galantamine,Mometasone
33029,the bradycardic activities,increase,Galantamine,Nebivolol
33030,The metabolism,decrease,Galantamine,Nefazodone
33031,The serum concentration,increase,Galantamine,Netupitant
33032,The metabolism,decrease,Galantamine,Nicardipine
33033,The metabolism,decrease,Gefitinib,Haloperidol
33034,The metabolism,decrease,Gefitinib,Imatinib
33035,The metabolism,decrease,Gefitinib,Imipramine
33036,The serum concentration,increase,Gefitinib,Isavuconazole
33037,The metabolism,decrease,Gefitinib,Isoniazid
33038,The metabolism,decrease,Gefitinib,Isradipine
33039,The metabolism,decrease,Gefitinib,Itraconazole
33040,The serum concentration,increase,Gefitinib,Ivacaftor
33041,The metabolism,decrease,Gefitinib,Ketoconazole
33042,The serum concentration,decrease,Gefitinib,Lansoprazole
33043,The metabolism,decrease,Gefitinib,Lorcaserin
33044,The serum concentration,increase,Gefitinib,Lorpiprazole
33045,The metabolism,decrease,Gefitinib,Lovastatin
33046,The serum concentration,decrease,Gefitinib,Lumacaftor
33047,The metabolism,decrease,Gefitinib,Methadone
33048,The metabolism,decrease,Gefitinib,Methotrimeprazine
33049,The serum concentration,increase,Gefitinib,Metoprolol
33050,The metabolism,decrease,Gefitinib,Midostaurin
33051,The serum concentration,increase,Gefitinib,Mifepristone
33052,The metabolism,decrease,Gefitinib,Mirabegron
33053,The serum concentration,decrease,Gefitinib,Mitotane
33054,The serum concentration,increase,Gefitinib,Naloxegol
33055,The metabolism,decrease,Gefitinib,Nefazodone
33056,The serum concentration,increase,Gefitinib,Netupitant
33057,The metabolism,decrease,Gefitinib,Nicardipine
33058,The serum concentration,increase,Gemcitabine,Isavuconazole
33059,The risk or severity of adverse effects,increase,Gemcitabine,Leflunomide
33060,The serum concentration,decrease,Gemcitabine,Lumacaftor
33061,The risk or severity of myelosuppression,increase,Gemcitabine,Metamizole
33062,The metabolism,decrease,Gemfibrozil,Gliclazide
33063,The metabolism,decrease,Gemfibrozil,Glimepiride
33064,The metabolism,decrease,Gemfibrozil,Glipizide
33065,The metabolism,decrease,Gemfibrozil,Glucosamine
